bw,payload_size,sf,airtime_ms
62500,34,7,164.4
62500,34,8,304.1
62500,34,9,559.1
62500,34,10,1216.5
62500,34,11,2236.4
62500,34,12,4079.6
62500,35,7,164.4
62500,35,8,304.1
62500,35,9,559.1
62500,35,10,1216.5
62500,35,11,2236.4
62500,35,12,4079.6
62500,36,7,176.6
62500,36,8,304.1
62500,36,9,559.1
62500,36,10,1216.5
62500,36,11,2236.4
62500,36,12,4079.6
62500,37,7,176.6
62500,37,8,328.7
62500,37,9,559.1
62500,37,10,1216.5
62500,37,11,2236.4
62500,37,12,4079.6
62500,38,7,176.6
62500,38,8,328.7
62500,38,9,608.3
62500,38,10,1314.8
62500,38,11,2236.4
62500,38,12,4472.8
62500,39,7,188.9
62500,39,8,328.7
62500,39,9,608.3
62500,39,10,1314.8
62500,39,11,2433.0
62500,39,12,4472.8
125000,34,7,82.2
125000,34,8,152.1
125000,34,9,279.6
125000,34,10,510.0
125000,34,11,1118.2
125000,34,12,2039.8
125000,35,7,82.2
125000,35,8,152.1
125000,35,9,279.6
125000,35,10,510.0
125000,35,11,1118.2
125000,35,12,2039.8
125000,36,7,88.3
125000,36,8,152.1
125000,36,9,279.6
125000,36,10,510.0
125000,36,11,1118.2
125000,36,12,2039.8
125000,37,7,88.3
125000,37,8,164.4
125000,37,9,279.6
125000,37,10,559.1
125000,37,11,1118.2
125000,37,12,2039.8
125000,38,7,88.3
125000,38,8,164.4
125000,38,9,304.1
125000,38,10,559.1
125000,38,11,1118.2
125000,38,12,2236.4
125000,39,7,94.5
125000,39,8,164.4
125000,39,9,304.1
125000,39,10,559.1
125000,39,11,1216.5
125000,39,12,2236.4
250000,34,7,41.1
250000,34,8,76.0
250000,34,9,139.8
250000,34,10,255.0
250000,34,11,460.8
250000,34,12,1019.9
250000,35,7,41.1
250000,35,8,76.0
250000,35,9,139.8
250000,35,10,255.0
250000,35,11,460.8
250000,35,12,1019.9
250000,36,7,44.2
250000,36,8,76.0
250000,36,9,139.8
250000,36,10,255.0
250000,36,11,510.0
250000,36,12,1019.9
250000,37,7,44.2
250000,37,8,82.2
250000,37,9,139.8
250000,37,10,279.6
250000,37,11,510.0
250000,37,12,1019.9
250000,38,7,44.2
250000,38,8,82.2
250000,38,9,152.1
250000,38,10,279.6
250000,38,11,510.0
250000,38,12,1118.2
250000,39,7,47.2
250000,39,8,82.2
250000,39,9,152.1
250000,39,10,279.6
250000,39,11,510.0
250000,39,12,1118.2
500000,34,7,20.5
500000,34,8,38.0
500000,34,9,69.9
500000,34,10,127.5
500000,34,11,230.4
500000,34,12,460.8
500000,35,7,20.5
500000,35,8,38.0
500000,35,9,69.9
500000,35,10,127.5
500000,35,11,230.4
500000,35,12,460.8
500000,36,7,22.1
500000,36,8,38.0
500000,36,9,69.9
500000,36,10,127.5
500000,36,11,255.0
500000,36,12,460.8
500000,37,7,22.1
500000,37,8,41.1
500000,37,9,69.9
500000,37,10,139.8
500000,37,11,255.0
500000,37,12,460.8
500000,38,7,22.1
500000,38,8,41.1
500000,38,9,76.0
500000,38,10,139.8
500000,38,11,255.0
500000,38,12,460.8
500000,39,7,23.6
500000,39,8,41.1
500000,39,9,76.0
500000,39,10,139.8
500000,39,11,255.0
500000,39,12,510.0
