bw,payload_size,sf,airtime_ms
62500,36,7,195.0
62500,36,8,349.2
62500,36,9,657.4
62500,36,10,1151.0
62500,36,11,2465.8
62500,36,12,4604.0
62500,37,7,195.0
62500,37,8,349.2
62500,37,9,657.4
62500,37,10,1151.0
62500,37,11,2465.8
62500,37,12,4604.0
62500,38,7,205.4
62500,38,8,369.6
62500,38,9,657.4
62500,38,10,1232.8
62500,38,11,2629.6
62500,38,12,4931.6
125000,36,7,97.5
125000,36,8,174.6
125000,36,9,328.7
125000,36,10,575.5
125000,36,11,1232.9
125000,36,12,2302.0
125000,37,7,97.5
125000,37,8,174.6
125000,37,9,328.7
125000,37,10,575.5
125000,37,11,1232.9
125000,37,12,2302.0
125000,38,7,102.7
125000,38,8,184.8
125000,38,9,328.7
125000,38,10,616.4
125000,38,11,1314.8
125000,38,12,2465.8
250000,36,7,48.8
250000,36,8,87.3
250000,36,9,164.4
250000,36,10,287.7
250000,36,11,534.5
250000,36,12,1069.1
250000,37,7,48.8
250000,37,8,87.3
250000,37,9,164.4
250000,37,10,287.7
250000,37,11,534.5
250000,37,12,1069.1
250000,38,7,51.3
250000,38,8,92.4
250000,38,9,164.4
250000,38,10,308.2
250000,38,11,575.5
250000,38,12,1069.1
500000,36,7,24.4
500000,36,8,43.6
500000,36,9,82.2
500000,36,10,143.9
500000,36,11,267.3
500000,36,12,493.6
500000,37,7,24.4
500000,37,8,43.6
500000,37,9,82.2
500000,37,10,143.9
500000,37,11,267.3
500000,37,12,493.6
500000,38,7,25.7
500000,38,8,46.2
500000,38,9,82.2
500000,38,10,154.1
500000,38,11,287.7
500000,38,12,493.6
