SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
8,500000,12,"3316760,100,8,43,ED,55,40,08,41,ED,41",37,-53.0,-46.0667,-52.90,-52.9,10.85,16.28,368,2025-12-19T18:46:46.236310
8,500000,12,"3317418,100,8,CF,68,A1,40,74,0F,EE,41",37,-51.0,-43.9333,-52.17,-52.3,10.85,16.28,368,2025-12-19T18:46:46.604310
8,500000,12,"3317786,100,8,9E,B6,BD,40,8F,69,EE,41",37,-53.0,-46.0667,-52.44,-52.4,10.85,16.28,365,2025-12-19T18:46:46.969310
8,500000,12,"3318155,100,8,F3,5C,D7,40,CF,BA,EE,41",37,-53.0,-46.0667,-52.61,-52.5,10.85,16.28,366,2025-12-19T18:46:47.335310
8,500000,12,"3318525,100,8,B5,88,F1,40,42,19,EF,41",37,-53.0,-46.0667,-53.15,-52.5,10.85,16.28,368,2025-12-19T18:46:47.703310
8,500000,12,"3318893,100,8,5F,DE,FC,40,97,55,EF,41",37,-53.0,-46.0667,-53.08,-53.0,10.85,16.28,373,2025-12-19T18:46:48.076310
8,500000,12,"3319262,100,8,56,E8,FF,40,DC,88,EF,41",37,-53.0,-46.0667,-53.04,-53.0,10.85,16.28,365,2025-12-19T18:46:48.441310
8,500000,12,"3319632,100,8,56,B2,F6,40,0C,BF,EF,41",37,-53.0,-46.0667,-53.02,-53.0,10.85,16.28,374,2025-12-19T18:46:48.815310
8,500000,12,"3320000,100,8,14,A4,E6,40,03,DD,EF,41",37,-53.0,-46.0667,-53.01,-53.0,10.85,16.28,365,2025-12-19T18:46:49.180310
8,500000,12,"3320370,100,8,F5,BF,C7,40,AC,F6,EF,41",37,-53.0,-46.0667,-53.00,-53.0,10.85,16.28,373,2025-12-19T18:46:49.553310
8,500000,12,"3320739,100,8,98,26,AC,40,2D,FF,EF,41",37,-53.0,-46.0667,-53.00,-53.0,10.85,16.28,365,2025-12-19T18:46:49.918310
8,500000,12,"3321108,100,8,5E,77,8F,40,77,FE,EF,41",37,-53.0,-46.0667,-53.00,-53.0,10.85,16.28,366,2025-12-19T18:46:50.284310
8,500000,12,"3321477,100,8,4B,E4,57,40,30,EF,EF,41",37,-52.0,-45.0000,-52.50,-52.8,10.85,16.28,374,2025-12-19T18:46:50.658310
8,500000,12,"3321845,100,8,F8,DD,2C,40,FF,D8,EF,41",37,-53.0,-46.0667,-52.75,-52.8,10.85,16.28,368,2025-12-19T18:46:51.026310
8,500000,12,"3322214,100,8,3E,FC,0E,40,9F,B9,EF,41",37,-52.0,-45.0000,-52.38,-52.5,10.85,16.28,366,2025-12-19T18:46:51.392310
8,500000,12,"3322584,100,8,21,00,00,40,90,81,EF,41",37,-52.0,-45.0000,-52.19,-52.2,10.85,16.28,365,2025-12-19T18:46:51.757310
8,500000,12,"3322952,100,8,BB,B4,08,40,E4,4C,EF,41",37,-53.0,-46.0667,-52.59,-52.5,10.85,16.28,375,2025-12-19T18:46:52.132310
8,500000,12,"3323321,100,8,D9,C8,21,40,2B,0F,EF,41",37,-53.0,-46.0667,-52.80,-52.5,10.85,16.28,365,2025-12-19T18:46:52.497310
8,500000,12,"3323691,100,8,F8,A1,58,40,E2,AE,EE,41",37,-53.0,-46.0667,-52.90,-52.8,10.85,16.28,367,2025-12-19T18:46:52.864310
8,500000,12,"3324059,100,8,44,88,86,40,43,5C,EE,41",37,-53.0,-46.0667,-52.95,-53.0,10.85,16.28,368,2025-12-19T18:46:53.232310
8,500000,12,"3324429,100,8,EF,05,A3,40,CE,00,EE,41",37,-51.0,-43.9333,-51.97,-52.5,10.85,16.28,374,2025-12-19T18:46:53.606310
8,500000,12,"3324798,100,8,70,26,C8,40,42,79,ED,41",37,-53.0,-46.0667,-52.49,-52.5,10.85,16.28,365,2025-12-19T18:46:53.971310
8,500000,12,"3325166,100,8,61,20,E0,40,83,09,ED,41",37,-53.0,-46.0667,-52.74,-52.5,10.85,16.28,369,2025-12-19T18:46:54.340310
8,500000,12,"3325535,100,8,E4,5F,F2,40,3C,91,EC,41",37,-52.0,-45.0000,-52.37,-52.2,10.85,16.28,367,2025-12-19T18:46:54.707310
8,500000,12,"3325905,100,8,F2,11,FF,40,C7,E3,EB,41",37,-52.0,-45.0000,-52.19,-52.5,10.85,16.28,367,2025-12-19T18:46:55.074310
8,500000,12,"3326273,100,8,5A,C3,FE,40,06,58,EB,41",37,-53.0,-46.0667,-52.59,-52.5,10.85,16.28,375,2025-12-19T18:46:55.449310
8,500000,12,"3326643,100,8,FF,4C,F1,40,0B,91,EA,41",37,-52.0,-45.0000,-52.30,-52.2,10.85,16.28,364,2025-12-19T18:46:55.813310
8,500000,12,"3327011,100,8,42,95,DE,40,80,F2,E9,41",37,-53.0,-46.0667,-52.65,-52.5,10.85,16.28,367,2025-12-19T18:46:56.180310
8,500000,12,"3327380,100,8,63,46,C6,40,22,4C,E9,41",37,-53.0,-46.0667,-52.82,-52.8,10.85,16.28,368,2025-12-19T18:46:56.548310
8,500000,12,"3327750,100,8,1E,F8,A0,40,68,62,E8,41",37,-53.0,-46.0667,-52.91,-52.8,10.85,16.28,374,2025-12-19T18:46:56.922310
8,500000,12,"3328119,100,8,B3,8E,84,40,63,AA,E7,41",37,-53.0,-46.0667,-52.96,-53.0,10.85,16.28,367,2025-12-19T18:46:57.289310
8,500000,12,"3328488,100,8,AA,31,55,40,12,EB,E6,41",37,-53.0,-46.0667,-52.98,-53.0,10.85,16.28,365,2025-12-19T18:46:57.654310
8,500000,12,"3328857,100,8,3E,7E,1F,40,EF,E0,E5,41",37,-53.0,-46.0667,-52.99,-53.0,10.85,16.28,375,2025-12-19T18:46:58.029310
8,500000,12,"3329225,100,8,58,86,07,40,47,11,E5,41",37,-54.0,-47.1333,-53.49,-53.2,10.85,16.28,366,2025-12-19T18:46:58.395310
8,500000,12,"3329594,100,8,F9,08,00,40,ED,3A,E4,41",37,-53.0,-46.0667,-53.25,-53.2,10.85,16.28,371,2025-12-19T18:46:58.766310
8,500000,12,"3329964,100,8,FC,9D,10,40,0A,13,E3,41",37,-53.0,-46.0667,-53.12,-53.2,10.85,16.28,367,2025-12-19T18:46:59.133310
8,500000,12,"3330332,100,8,57,8A,2F,40,D2,2D,E2,41",37,-53.0,-46.0667,-53.06,-53.2,10.85,16.28,365,2025-12-19T18:46:59.498310
