payload,time_since_boot_ms,time_since_transmission_init_ms,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp,snr_db
CFG sf=8 sbw=250000 tp=22 [GENERATED_FROM_RAW],,,46,-60.0,-53.5333,-60.0000,-60.0,,,,2026-02-22T17:01:35.367172,60.02
"6423881,100,8,75,09,CA,7C,95,8A,28,DE",6423881,2326279,37,-60.0,-53.5333,-60.0000,-60.0,43.40,48.83,729,2026-02-22T17:01:36.096172,60.02
"6427110,100,8,34,D9,C4,EF,B8,38,61,4B",6427110,2327008,37,-59.0,-52.4667,-59.5000,-59.5,43.40,48.83,712,2026-02-22T17:01:36.808172,61.02
"6430322,100,8,BD,6E,D6,14,44,E0,F4,10",6430322,2327720,37,-59.0,-52.4667,-59.2500,-59.3,43.40,48.83,681,2026-02-22T17:01:37.489172,61.02
"6433503,100,8,AF,E7,B2,62,9F,50,39,93",6433503,2328401,37,-59.0,-52.4667,-59.1250,-59.2,43.40,48.83,736,2026-02-22T17:01:38.225172,61.02
"6436739,100,8,96,B9,23,69,E2,E2,BB,57",6436739,2329137,37,-60.0,-53.5333,-59.5625,-59.2,43.40,48.83,744,2026-02-22T17:01:38.969172,60.02
"6439983,100,8,E5,30,7C,BC,BB,67,DD,7F",6439983,2329881,37,-60.0,-53.5333,-59.7812,-59.5,43.40,48.83,754,2026-02-22T17:01:39.723172,60.02
"6443237,100,8,28,A7,A1,19,DF,CD,AB,DF",6443237,2330635,37,-59.0,-52.4667,-59.3906,-59.5,43.40,48.83,713,2026-02-22T17:01:40.436172,61.02
PACKET_LOST,6443950,2331348,0,-61.0,-54.6000,-60.1953,-60.0,43.40,48.83,757,2026-02-22T17:01:41.193172,59.02
"6447207,100,8,5C,7F,F0,0B,26,A1,31,0B",6447207,2332105,37,-59.0,-52.4667,-59.5977,-59.8,43.40,48.83,763,2026-02-22T17:01:41.956172,61.02
"6450470,100,8,21,87,49,88,59,F5,A1,DA",6450470,2332868,37,-60.0,-53.5333,-59.7988,-59.8,43.40,48.83,703,2026-02-22T17:01:42.659172,60.02
"6453673,100,8,BC,21,A6,C8,EF,44,7E,87",6453673,2333571,37,-60.0,-53.5333,-59.8994,-60.0,43.40,48.83,747,2026-02-22T17:01:43.406172,60.02
"6456920,100,8,E1,32,5E,40,CF,36,D5,AB",6456920,2334318,37,-59.0,-52.4667,-59.4497,-59.5,43.40,48.83,759,2026-02-22T17:01:44.165172,61.02
"6460179,100,8,EE,9D,4F,40,06,AE,B5,90",6460179,2335077,37,-61.0,-54.6000,-60.2249,-60.0,43.40,48.83,712,2026-02-22T17:01:44.877172,59.02
"6463391,100,8,9B,3F,05,E1,4B,C6,B2,B0",6463391,2335789,37,-58.0,-51.4000,-59.1124,-59.5,43.40,48.83,669,2026-02-22T17:01:45.546172,62.02
"6466560,100,8,9A,39,4E,13,85,4D,79,46",6466560,2336458,37,-58.0,-51.4000,-58.5562,-59.0,43.40,48.83,713,2026-02-22T17:01:46.259172,62.02
"6469773,100,8,DE,D6,77,54,35,19,21,76",6469773,2337171,37,-60.0,-53.5333,-59.2781,-59.2,43.40,48.83,731,2026-02-22T17:01:46.990172,60.02
"6473004,100,8,0D,B4,80,2D,B1,44,D6,86",6473004,2337902,37,-60.0,-53.5333,-59.6391,-59.0,43.40,48.83,727,2026-02-22T17:01:47.717172,60.02
"6476231,100,8,9E,E5,7D,33,12,AE,0B,48",6476231,2338629,37,-61.0,-54.6000,-60.3195,-59.8,43.40,48.83,710,2026-02-22T17:01:48.427172,59.02
"6479441,100,8,20,9D,27,E2,F9,87,26,77",6479441,2339339,37,-60.0,-53.5333,-60.1598,-60.2,43.40,48.83,762,2026-02-22T17:01:49.189172,60.02
"6482703,100,8,62,E9,52,F5,B0,C4,32,BC",6482703,2340101,37,-59.0,-52.4667,-59.5799,-60.0,43.40,48.83,717,2026-02-22T17:01:49.906172,61.02
"6485920,100,8,BF,41,02,1E,6A,2C,77,F1",6485920,2340818,37,-59.0,-52.4667,-59.2899,-59.8,43.40,48.83,773,2026-02-22T17:01:50.679172,61.02
"6489193,100,8,24,AD,12,E1,1A,76,42,31",6489193,2341591,37,-58.0,-51.4000,-58.6450,-59.0,43.40,48.83,747,2026-02-22T17:01:51.426172,62.02
"6492440,100,8,C7,33,29,6F,5F,05,DE,F3",6492440,2342338,37,-60.0,-53.5333,-59.3225,-59.0,43.40,48.83,731,2026-02-22T17:01:52.157172,60.02
"6495671,100,8,7C,63,D7,CB,60,D8,1D,03",6495671,2343069,37,-59.0,-52.4667,-59.1612,-59.0,43.40,48.83,755,2026-02-22T17:01:52.912172,61.02
"6498926,100,8,C9,13,3F,D3,63,86,A0,F4",6498926,2343824,37,-60.0,-53.5333,-59.5806,-59.2,43.40,48.83,721,2026-02-22T17:01:53.633172,60.02
"6502147,100,8,3B,27,18,00,25,D1,A5,8E",6502147,2344545,37,-60.0,-53.5333,-59.7903,-59.8,43.40,48.83,743,2026-02-22T17:01:54.376172,60.02
"6505390,100,8,B7,3B,0B,C2,87,8E,7D,1D",6505390,2345288,37,-59.0,-52.4667,-59.3952,-59.5,43.40,48.83,761,2026-02-22T17:01:55.137172,61.02
"6508651,100,8,7F,9D,12,27,B3,B3,67,FB",6508651,2346049,37,-59.0,-52.4667,-59.1976,-59.5,43.40,48.83,733,2026-02-22T17:01:55.870172,61.02
