relative_path,distance_m,sf,bw_hz,tp_dbm
distance_6.25m/SF7/SF7_BW62500_TP2.csv,6.25,7,62500,2
distance_6.25m/SF7/SF7_BW62500_TP12.csv,6.25,7,62500,12
distance_6.25m/SF7/SF7_BW62500_TP22.csv,6.25,7,62500,22
distance_6.25m/SF7/SF7_BW125000_TP2.csv,6.25,7,125000,2
distance_6.25m/SF7/SF7_BW125000_TP12.csv,6.25,7,125000,12
distance_6.25m/SF7/SF7_BW125000_TP22.csv,6.25,7,125000,22
distance_6.25m/SF7/SF7_BW250000_TP2.csv,6.25,7,250000,2
distance_6.25m/SF7/SF7_BW250000_TP12.csv,6.25,7,250000,12
distance_6.25m/SF7/SF7_BW250000_TP22.csv,6.25,7,250000,22
distance_6.25m/SF7/SF7_BW500000_TP2.csv,6.25,7,500000,2
distance_6.25m/SF7/SF7_BW500000_TP12.csv,6.25,7,500000,12
distance_6.25m/SF7/SF7_BW500000_TP22.csv,6.25,7,500000,22
distance_6.25m/SF8/SF8_BW62500_TP2.csv,6.25,8,62500,2
distance_6.25m/SF8/SF8_BW62500_TP12.csv,6.25,8,62500,12
distance_6.25m/SF8/SF8_BW62500_TP22.csv,6.25,8,62500,22
distance_6.25m/SF8/SF8_BW125000_TP2.csv,6.25,8,125000,2
distance_6.25m/SF8/SF8_BW125000_TP12.csv,6.25,8,125000,12
distance_6.25m/SF8/SF8_BW125000_TP22.csv,6.25,8,125000,22
distance_6.25m/SF8/SF8_BW250000_TP2.csv,6.25,8,250000,2
distance_6.25m/SF8/SF8_BW250000_TP12.csv,6.25,8,250000,12
distance_6.25m/SF8/SF8_BW250000_TP22.csv,6.25,8,250000,22
distance_6.25m/SF8/SF8_BW500000_TP2.csv,6.25,8,500000,2
distance_6.25m/SF8/SF8_BW500000_TP12.csv,6.25,8,500000,12
distance_6.25m/SF8/SF8_BW500000_TP22.csv,6.25,8,500000,22
distance_6.25m/SF9/SF9_BW62500_TP2.csv,6.25,9,62500,2
distance_6.25m/SF9/SF9_BW62500_TP12.csv,6.25,9,62500,12
distance_6.25m/SF9/SF9_BW62500_TP22.csv,6.25,9,62500,22
distance_6.25m/SF9/SF9_BW125000_TP2.csv,6.25,9,125000,2
distance_6.25m/SF9/SF9_BW125000_TP12.csv,6.25,9,125000,12
distance_6.25m/SF9/SF9_BW125000_TP22.csv,6.25,9,125000,22
distance_6.25m/SF9/SF9_BW250000_TP2.csv,6.25,9,250000,2
distance_6.25m/SF9/SF9_BW250000_TP12.csv,6.25,9,250000,12
distance_6.25m/SF9/SF9_BW250000_TP22.csv,6.25,9,250000,22
distance_6.25m/SF9/SF9_BW500000_TP2.csv,6.25,9,500000,2
distance_6.25m/SF9/SF9_BW500000_TP12.csv,6.25,9,500000,12
distance_6.25m/SF9/SF9_BW500000_TP22.csv,6.25,9,500000,22
distance_6.25m/SF10/SF10_BW62500_TP2.csv,6.25,10,62500,2
distance_6.25m/SF10/SF10_BW62500_TP12.csv,6.25,10,62500,12
distance_6.25m/SF10/SF10_BW62500_TP22.csv,6.25,10,62500,22
distance_6.25m/SF10/SF10_BW125000_TP2.csv,6.25,10,125000,2
distance_6.25m/SF10/SF10_BW125000_TP12.csv,6.25,10,125000,12
distance_6.25m/SF10/SF10_BW125000_TP22.csv,6.25,10,125000,22
distance_6.25m/SF10/SF10_BW250000_TP2.csv,6.25,10,250000,2
distance_6.25m/SF10/SF10_BW250000_TP12.csv,6.25,10,250000,12
distance_6.25m/SF10/SF10_BW250000_TP22.csv,6.25,10,250000,22
distance_6.25m/SF10/SF10_BW500000_TP2.csv,6.25,10,500000,2
distance_6.25m/SF10/SF10_BW500000_TP12.csv,6.25,10,500000,12
distance_6.25m/SF10/SF10_BW500000_TP22.csv,6.25,10,500000,22
distance_6.25m/SF11/SF11_BW125000_TP2.csv,6.25,11,125000,2
distance_6.25m/SF11/SF11_BW125000_TP12.csv,6.25,11,125000,12
distance_6.25m/SF11/SF11_BW125000_TP22.csv,6.25,11,125000,22
distance_6.25m/SF11/SF11_BW250000_TP2.csv,6.25,11,250000,2
distance_6.25m/SF11/SF11_BW250000_TP12.csv,6.25,11,250000,12
distance_6.25m/SF11/SF11_BW250000_TP22.csv,6.25,11,250000,22
distance_6.25m/SF11/SF11_BW500000_TP2.csv,6.25,11,500000,2
distance_6.25m/SF11/SF11_BW500000_TP12.csv,6.25,11,500000,12
distance_6.25m/SF11/SF11_BW500000_TP22.csv,6.25,11,500000,22
distance_6.25m/SF12/SF12_BW250000_TP2.csv,6.25,12,250000,2
distance_6.25m/SF12/SF12_BW250000_TP12.csv,6.25,12,250000,12
distance_6.25m/SF12/SF12_BW250000_TP22.csv,6.25,12,250000,22
distance_6.25m/SF12/SF12_BW500000_TP2.csv,6.25,12,500000,2
distance_6.25m/SF12/SF12_BW500000_TP12.csv,6.25,12,500000,12
distance_6.25m/SF12/SF12_BW500000_TP22.csv,6.25,12,500000,22
distance_12.5m/SF7/SF7_BW62500_TP2.csv,12.5,7,62500,2
distance_12.5m/SF7/SF7_BW62500_TP12.csv,12.5,7,62500,12
distance_12.5m/SF7/SF7_BW62500_TP22.csv,12.5,7,62500,22
distance_12.5m/SF7/SF7_BW125000_TP2.csv,12.5,7,125000,2
distance_12.5m/SF7/SF7_BW125000_TP12.csv,12.5,7,125000,12
distance_12.5m/SF7/SF7_BW125000_TP22.csv,12.5,7,125000,22
distance_12.5m/SF7/SF7_BW250000_TP2.csv,12.5,7,250000,2
distance_12.5m/SF7/SF7_BW250000_TP12.csv,12.5,7,250000,12
distance_12.5m/SF7/SF7_BW250000_TP22.csv,12.5,7,250000,22
distance_12.5m/SF7/SF7_BW500000_TP2.csv,12.5,7,500000,2
distance_12.5m/SF7/SF7_BW500000_TP12.csv,12.5,7,500000,12
distance_12.5m/SF7/SF7_BW500000_TP22.csv,12.5,7,500000,22
distance_12.5m/SF8/SF8_BW62500_TP2.csv,12.5,8,62500,2
distance_12.5m/SF8/SF8_BW62500_TP12.csv,12.5,8,62500,12
distance_12.5m/SF8/SF8_BW62500_TP22.csv,12.5,8,62500,22
distance_12.5m/SF8/SF8_BW125000_TP2.csv,12.5,8,125000,2
distance_12.5m/SF8/SF8_BW125000_TP12.csv,12.5,8,125000,12
