SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
10,500000,2,2025-12-11T19:53:17.018908,-62.0,-60.1333,-60.0,1218,"3897950,100,8,1C,69,02,40,FB,A6,A4,41",0.132640200
10,500000,2,2025-12-11T19:53:18.237908,-61.0,-60.4663,-60.4,1219,"3899552,100,8,42,70,E9,40,D2,26,A0,41",0.132749100
10,500000,2,2025-12-11T19:53:19.453908,-60.0,-60.3142,-60.3,1216,"3900802,100,8,2C,1B,5F,40,53,0E,A0,41",0.132422400
10,500000,2,2025-12-11T19:53:20.678908,-59.0,-59.9214,-60.5,1225,"3902052,100,8,AF,65,02,40,AD,98,A0,41",0.133402500
10,500000,2,2025-12-11T19:53:21.891908,-59.0,-59.2967,-59.8,1213,"3903302,100,8,D3,79,82,40,09,97,A1,41",0.132095700
10,500000,2,2025-12-11T19:53:23.110908,-58.0,-58.6484,-59.0,1219,"3904552,100,8,71,04,E4,40,41,0C,A3,41",0.132749100
10,500000,2,2025-12-11T19:53:24.329908,-59.0,-58.8242,-58.8,1219,"3905802,100,8,14,CA,F7,40,9F,25,A5,41",0.132749100
10,500000,2,2025-12-11T19:53:25.550908,-59.0,-58.9121,-58.8,1221,"3907052,100,8,6D,33,A5,40,2A,83,A7,41",0.132966900
10,500000,2,2025-12-11T19:53:26.769908,-58.0,-58.4560,-58.5,1219,"3908302,100,8,91,DB,19,40,3D,45,AA,41",0.132749100
10,500000,2,2025-12-11T19:53:27.987908,-58.0,-58.2280,-58.5,1218,"3909552,100,8,BB,1A,2A,40,19,B0,AD,41",0.132640200
10,500000,2,2025-12-11T19:53:29.201908,-59.0,-58.6140,-58.5,1214,"3910803,100,8,BC,77,B3,40,7E,27,B1,41",0.132204600
10,500000,2,2025-12-11T19:53:30.425908,-59.0,-58.8070,-58.5,1224,"3912051,100,8,C3,AB,FE,40,CB,3F,B5,41",0.133293600
10,500000,2,2025-12-11T19:53:31.638908,-58.0,-58.4035,-58.5,1213,"3913301,100,8,22,21,D9,40,C5,3D,B9,41",0.132095700
10,500000,2,2025-12-11T19:53:32.863908,-58.0,-58.2018,-58.5,1225,"3914551,100,8,16,50,6A,40,6C,69,BD,41",0.133402500
10,500000,2,2025-12-11T19:53:34.081908,-59.0,-58.6009,-58.5,1218,"3915801,100,8,09,CF,00,40,0A,1B,C2,41",0.132640200
10,500000,2,2025-12-11T19:53:35.290908,-58.0,-58.3004,-58.2,1209,"3917051,100,8,11,F7,78,40,04,7C,C6,41",0.131660100
10,500000,2,2025-12-11T19:53:36.512908,-56.0,-57.1502,-57.8,1222,"3918301,100,8,DE,5F,DF,40,AF,E1,CA,41",0.133075800
10,500000,2,2025-12-11T19:53:37.730908,-57.0,-57.0751,-57.5,1218,"3919551,100,8,24,2C,FA,40,0C,A3,CF,41",0.132640200
10,500000,2,2025-12-11T19:53:38.954908,-56.0,-56.5376,-56.8,1224,"3920801,100,8,07,8C,AB,40,AF,E6,D3,41",0.133293600
10,500000,2,2025-12-11T19:53:40.171908,-58.0,-57.2688,-56.8,1217,"3922051,100,8,17,9B,20,40,7E,05,D8,41",0.132531300
10,500000,2,2025-12-11T19:53:41.385908,-58.0,-57.6344,-57.2,1214,"3923302,100,8,24,7A,22,40,39,4B,DC,41",0.132204600
10,500000,2,2025-12-11T19:53:42.604908,-58.0,-57.8172,-57.5,1219,"3924550,100,8,B3,30,AD,40,88,F4,DF,41",0.132749100
10,500000,2,2025-12-11T19:53:43.827908,-58.0,-57.9086,-58.0,1223,"3925800,100,8,3F,BA,FA,40,B7,53,E3,41",0.133184700
10,500000,2,2025-12-11T19:53:45.045908,-58.0,-57.9543,-58.0,1218,"3927050,100,8,D4,1E,DE,40,97,A0,E6,41",0.132640200
10,500000,2,2025-12-11T19:53:46.262908,-58.0,-57.9771,-58.0,1217,"3928300,100,8,5A,2F,54,40,46,B4,E9,41",0.132531300
10,500000,2,2025-12-11T19:53:47.484908,-58.0,-57.9886,-58.0,1222,"3929550,100,8,E9,0F,00,40,B5,AF,EB,41",0.133075800
