#,distance,file,config,packet_in_file,packet_global_idx,prev_time_ms,curr_time_ms,prev_config
1,distance_6.25m,distance_6.25m\SF7\SF7_BW62500_TP22.csv,SF7_BW62_TP22,0,200,539765,380760,SF7_BW62_TP12
2,distance_6.25m,distance_6.25m\SF7\SF7_BW125000_TP2.csv,SF7_BW125_TP2,0,300,535349,292259,SF7_BW62_TP22
3,distance_6.25m,distance_6.25m\SF7\SF7_BW250000_TP2.csv,SF7_BW250_TP2,0,600,773073,432500,SF7_BW125_TP22
4,distance_6.25m,distance_6.25m\SF7\SF7_BW500000_TP2.csv,SF7_BW500_TP2,0,900,895058,481880,SF7_BW250_TP22
5,distance_6.25m,distance_6.25m\SF8\SF8_BW62500_TP2.csv,SF8_BW62_TP2,0,1200,961307,525663,SF7_BW500_TP22
6,distance_6.25m,distance_6.25m\SF8\SF8_BW125000_TP2.csv,SF8_BW125_TP2,0,1500,1821345,807410,SF8_BW62_TP22
7,distance_6.25m,distance_6.25m\SF8\SF8_BW250000_TP2.csv,SF8_BW250_TP2,0,1800,2263390,974787,SF8_BW125_TP22
8,distance_6.25m,distance_6.25m\SF8\SF8_BW250000_TP2.csv,SF8_BW250_TP2,51,1851,1042228,1010266,SF8_BW250_TP2
9,distance_6.25m,distance_6.25m\SF8\SF8_BW500000_TP2.csv,SF8_BW500_TP2,0,2100,2485776,1055229,SF8_BW250_TP22
10,distance_6.25m,distance_6.25m\SF9\SF9_BW62500_TP2.csv,SF9_BW62_TP2,0,2400,2598320,1106472,SF8_BW500_TP22
11,distance_6.25m,distance_6.25m\SF9\SF9_BW125000_TP2.csv,SF9_BW125_TP2,0,2700,4082846,1620563,SF9_BW62_TP22
12,distance_6.25m,distance_6.25m\SF9\SF9_BW250000_TP2.csv,SF9_BW250_TP2,0,3000,4839533,1891211,SF9_BW125_TP22
13,distance_6.25m,distance_6.25m\SF9\SF9_BW500000_TP2.csv,SF9_BW500_TP2,0,3300,5220986,2023898,SF9_BW250_TP22
14,distance_6.25m,distance_6.25m\SF10\SF10_BW62500_TP2.csv,SF10_BW62_TP2,0,3600,5413229,2094547,SF9_BW500_TP22
15,distance_6.25m,distance_6.25m\SF10\SF10_BW125000_TP2.csv,SF10_BW125_TP2,0,3900,8375042,3119084,SF10_BW62_TP22
16,distance_6.25m,distance_6.25m\SF10\SF10_BW250000_TP2.csv,SF10_BW250_TP2,0,4200,9883978,3638008,SF10_BW125_TP22
17,distance_6.25m,distance_6.25m\SF10\SF10_BW500000_TP2.csv,SF10_BW500_TP2,0,4500,10639855,3897950,SF10_BW250_TP22
